Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 42/200 /// Total reward: 10.857819569301954
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 43/200 /// Total reward: 11.6919314251473
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 44/200 /// Total reward: 10.190320794608548
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 45/200 /// Total reward: 10.856986796636052
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 46/200 /// Total reward: 10.691932422464108
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 47/200 /// Total reward: 10.69032029046611
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 48/200 /// Total reward: 10.691932434682917
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 49/200 /// Total reward: 10.025266435384383
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 50/200 /// Total reward: 11.025265421863507
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 51/200 /// Total reward: 10.190320794608548
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 52/200 /// Total reward: 10.190320794608548
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 53/200 /// Total reward: 10.523653799098776
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 54/200 /// Total reward: 10.69115403629784
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 55/200 /// Total reward: 11.188211339979917
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 56/200 /// Total reward: 10.691153071922562
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 57/200 /// Total reward: 10.190320794608548
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 58/200 /// Total reward: 5.523772741989426
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 59/200 /// Total reward: 10.190320794608548
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 60/200 /// Total reward: 11.691880414118527
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 61/200 /// Total reward: 10.525259340520753
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 62/200 /// Total reward: 10.69115403629784
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 63/200 /// Total reward: 12.52447944742317
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 64/200 /// Total reward: 10.525265922148899
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 65/200 /// Total reward: 10.501705934267394
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 66/200 /// Total reward: 10.691932429843648
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 67/200 /// Total reward: 10.165977728249564
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 68/200 /// Total reward: 10.025266435384383
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 69/200 /// Total reward: 10.190320794608544
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 70/200 /// Total reward: 9.856697718806862
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 71/200 /// Total reward: 10.191153573108762
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 72/200 /// Total reward: 11.191152574984295
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 73/200 /// Total reward: 10.191153573108762
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 74/200 /// Total reward: 11.691881288576903
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 75/200 /// Total reward: 6.358603435381937
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 76/200 /// Total reward: 10.191153573108762
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 77/200 /// Total reward: 10.025266435384383
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 78/200 /// Total reward: 11.02526543263256
